index,omit_player,upper_slope,lower_slope,lower_minus_upper,change_vs_full
81,00-0035273,0.1385716642978189,-0.5099308185705563,-0.6485024828683752,0.0057799548068877
82,00-0032426,0.1443083119169568,-0.515710773377444,-0.6600190852944008,-0.0057366476191378
83,00-0032918,0.1328807967496106,-0.515710773377444,-0.6485915701270546,0.0056908675482083
84,00-0033594,0.1441212444230646,-0.515710773377444,-0.6598320178005086,-0.0055495801252456
85,00-0033280,0.1330667648209243,-0.515710773377444,-0.6487775381983683,0.0055048994768946
86,00-0036450,0.1385716642978189,-0.5104167912703541,-0.6489884555681731,0.0052939821070898
87,00-0032058,0.1398048617483218,-0.5196863541939597,-0.6594912159422816,-0.0052087782670185
88,00-0030656,0.1437555062730403,-0.515710773377444,-0.6594662796504843,-0.0051838419752213
89,00-0030485,0.1437307198725492,-0.515710773377444,-0.6594414932499932,-0.0051590555747302
90,00-0033567,0.1409955747201897,-0.5183719429527747,-0.6593675176729644,-0.0050850799977014
91,00-0031062,0.1436248624605928,-0.515710773377444,-0.6593356358380368,-0.0050531981627738
92,00-0029613,0.133529251064951,-0.515710773377444,-0.649240024442395,0.0050424132328679
93,00-0035860,0.1363170272920059,-0.5129375787136968,-0.6492546060057028,0.0050278316695601
94,00-0036414,0.1455355341810391,-0.5136854674978497,-0.6592210016788889,-0.0049385640036259
95,00-0035567,0.1434255795909585,-0.5157945654171872,-0.6592201450081456,-0.0049377073328826
96,00-0033293,0.1338097238786431,-0.515710773377444,-0.6495204972560871,0.0047619404191758
97,00-0031285,0.1416455072197653,-0.5079235148836967,-0.649569022103462,0.0047134155718009
98,00-0029615,0.143250636356686,-0.515710773377444,-0.65896140973413,-0.004678972058867
99,00-0034844,0.1338955409911431,-0.515710773377444,-0.6496063143685872,0.0046761233066757
100,00-0035125,0.1345558658840054,-0.5151569590305082,-0.6497128249145137,0.0045696127607492
101,00-0034378,0.1385716642978189,-0.511204725173424,-0.6497763894712429,0.00450604820402
