index,position,horizon,career_stage,route,representative_source_state,evidence_quantile,source_points,source_percentile,state_percentile,p_active,conditional_active_points,expected_points,p_out,p_depth,p_usable,p_starter,p_premium,p_elite,mean_depth,mean_usable,mean_starter,mean_premium,mean_elite
25,QB,3,veteran,D1,elite,0.1,193.976,0.6814423076923077,0.1717948717948718,0.7697746169201344,153.52275188008426,118.17791751701672,0.2302253830798656,0.0432019580578903,0.073165245421144,0.1138223371826166,0.2329520057329647,0.3066330705255187,18.974824469944927,25.921437585617696,52.64659646660153,116.17569789626742,268.74433004032613
26,QB,3,veteran,D1,elite,0.25,237.35,0.7391212949337818,0.3275862068965517,0.780081189696371,166.7150174363965,130.0512491420354,0.219918810303629,0.0396970553732828,0.0619290558132088,0.1011955242630543,0.222021973078296,0.355237581168529,19.45462171305838,26.452058368303035,53.315673005367536,117.14495039569928,270.90812330938905
27,QB,3,veteran,D1,elite,0.5,277.24,0.83125,0.5689655172413793,0.78724717993224,182.6085812633994,143.75809063103847,0.2127528200677599,0.0376250762015581,0.0466116552261612,0.0829238731542016,0.2045856764216887,0.4155008989286302,19.434449927643406,26.49518608118943,54.013639308498426,117.18465936404168,272.7757287846968
28,QB,3,veteran,D1,elite,0.75,312.77,0.8983675373134329,0.7456896551724138,0.7923171358313371,193.2595647742676,153.1228648339585,0.2076828641686628,0.0362264428939578,0.0375269368316705,0.0714378660447584,0.1906731593425243,0.4564527307184259,19.454998327194787,26.562650536929773,54.53873314970342,117.28118014473505,274.2074967536326
29,QB,3,veteran,D1,elite,0.9,344.64,0.9622342831298056,0.9045584045584044,0.7960660649335646,205.38153611602092,163.49727126589158,0.2039339350664354,0.0330605962295907,0.0228589277315231,0.0599103477413889,0.1794287287758006,0.500807464455261,19.391119188372457,26.541518556581394,54.99906931344049,117.21301668391216,275.4014117018503
30,RB,2,developmental,D1,starter,0.1,17.5,0.3754488588334742,0.1059011164274322,0.6399406960201384,29.45547339252152,18.849756144412886,0.3600593039798616,0.1047511811205194,0.1890959674242822,0.2228666125634894,0.1083730967407657,0.0148538381710814,2.702611517673212,10.6943665066988,27.949435234301237,72.85862285945322,162.88599957182947
31,RB,2,developmental,D1,starter,0.25,21.55,0.4092546583850932,0.2694444444444445,0.6548502020389744,33.82131347600353,22.1478939629844,0.3451497979610256,0.09439120779691,0.1789661086039174,0.2299198840939254,0.1315912844835206,0.0199817170607007,3.634032645919248,11.644188960928666,28.943119163048596,74.2025174554522,165.2488046441276
32,RB,2,developmental,D1,starter,0.5,27.7,0.4585798816568047,0.5131578947368421,0.6723918030802205,40.48396384909156,27.221085448325137,0.3276081969197795,0.0802187360287318,0.1612549022667964,0.2314793170326267,0.1690994112929742,0.0303394364590912,4.567701025849772,12.576186265931147,29.95436335307196,75.63191812669766,168.2157202838893
33,RB,2,developmental,D1,starter,0.75,34.55,0.5030864197530864,0.7462121212121212,0.6873282776259901,47.60789720195155,32.722253985212554,0.3126717223740098,0.0684558912890697,0.1432555744347096,0.2238615202195855,0.2072877906476914,0.0444675010349337,5.378406533836269,13.383255012926304,30.834075533960817,76.88200689751449,170.8569165518846
34,RB,2,developmental,D1,starter,0.9,40.6,0.5384615384615384,0.8888888888888888,0.6978817229836798,52.5140843622639,36.64861967564705,0.3021182770163202,0.0623694630096611,0.1325158452957015,0.2155462652731559,0.231473486289254,0.0559766631159072,5.907103185978066,13.901304814511311,31.41401176557025,77.73108428122715,172.8255158550611
35,RB,2,established,D1,starter,0.1,17.85,0.3685532179121923,0.0972222222222222,0.4604139047804206,25.243499949530538,11.622458382087707,0.5395860952195793,0.1071611070205229,0.1401588408173197,0.1508978602452574,0.0541413263274274,0.0080547703698931,3.471458516871273,11.494822304872308,28.72203602167953,73.674886095438,163.4313812252915
36,RB,2,established,D1,starter,0.25,19.775,0.3971218487394958,0.2267045454545454,0.4684072089545453,27.543699613718957,12.901667460344484,0.5315927910454546,0.0994952469623385,0.1368456992971459,0.1584562897341221,0.0634980921005625,0.0101118808603761,3.633642754463828,11.6306539470999,28.917339829334978,74.02975890709695,164.7220235126248
37,RB,2,established,D1,starter,0.5,26.6,0.4564687838325514,0.4736111111111111,0.4915945587200352,33.49975465667362,16.468297107676914,0.5084054412799648,0.0872870111034753,0.1298826137900094,0.1718144955383277,0.0866671689915284,0.0159432692966942,4.702640982049672,12.693996037860444,30.07797915958504,75.6816486002777,168.2303141467786
38,RB,2,established,D1,starter,0.75,33.575,0.5129794973544974,0.7395833333333334,0.509702508581716,40.23552314417434,20.508147080683354,0.490297491418284,0.0744678892403047,0.1183426797497972,0.177167332879464,0.114652204219792,0.0250724024923578,5.317579638366709,13.276529073687447,30.76760705428153,76.75110523354446,171.1156260305272
39,RB,2,established,D1,starter,0.9,41.3,0.5498447204968944,0.9350539811066128,0.5255910493284777,46.42627455996411,24.401234362383544,0.4744089506715223,0.0666092483733136,0.1093136035076169,0.1766103970200832,0.1382126779455164,0.0348451224819474,6.20641304009937,14.176921556393808,31.72037947506516,78.05809180085808,173.5489022893937
40,RB,2,veteran,D1,premium,0.1,48.75,0.5735389728979473,0.069218316373728,0.3899052906228359,31.799991365308088,12.398984875094124,0.610094709377164,0.0708792309769501,0.0871835677164164,0.1385662599971473,0.0714715589634747,0.0218046729688472,0.0,5.892126921031107,23.45882051501976,70.08768665892758,166.26761527185718
41,RB,2,veteran,D1,premium,0.25,54.425,0.60184412095691,0.1822117763483424,0.3977474108412773,30.76635170358296,12.237236731132242,0.6022525891587227,0.0664556391381653,0.1007093696352933,0.1397585442465038,0.0713678365643797,0.0194560212569351,0.0,6.137877709413495,23.7597596460154,70.56946068785646,167.6640735769459
42,RB,2,veteran,D1,premium,0.5,84.35,0.7213499731615673,0.6141447368421052,0.4281503898746237,42.1077764699865,18.02846091237823,0.5718496101253763,0.0547067958431994,0.0896121069579933,0.1433368031083456,0.1039711759961838,0.0365235079689014,0.0,6.943793767155661,24.806467407672912,72.33228316292312,173.31469503001117
43,RB,2,veteran,D1,premium,0.75,92.55,0.7371401604530439,0.7474104143337066,0.4343247656960247,46.512183966128624,20.20139340309921,0.5656752343039753,0.0510149618096484,0.0844020882164554,0.1406917650338298,0.1140415253149238,0.0441744253211671,0.0,7.380487596066466,25.263881936368143,72.95185359237784,174.4109625073961
44,RB,2,veteran,D1,premium,0.9,100.77,0.7729822485207101,0.8286046511627908,0.4398739259848181,49.596437369588216,21.816179620620915,0.5601260740151819,0.0469143574179515,0.0808215328058398,0.1385405683281045,0.1241141216303638,0.0494833458025583,0.0,7.191349369306565,25.161438024993885,72.97606648347968,175.649469232752
45,RB,3,developmental,D1,starter,0.1,17.5,0.3754488588334742,0.1059011164274322,0.4308744454202606,29.672432690283856,12.785092979696069,0.5691255545797393,0.0886468571439585,0.1072832068669669,0.150994924764144,0.0638488877423468,0.0201005689028442,0.9012477444510764,8.841651829527066,26.25172077705721,69.96605270388206,165.44348594892887
46,RB,3,developmental,D1,starter,0.25,21.55,0.4092546583850932,0.2694444444444445,0.4503454159569945,32.862759302248925,14.799593007465884,0.5496545840430055,0.0869336367822657,0.1115108367895182,0.1525736801998212,0.0753627827149687,0.0239644794704206,1.836033356094468,9.814862705029276,27.09656623699876,71.53646394668041,167.75271844101687
47,RB,3,developmental,D1,starter,0.5,27.7,0.4585798816568047,0.5131578947368421,0.4740793910421725,37.54388759674962,17.798783369222836,0.5259206089578274,0.0833717022231521,0.1163573410515456,0.1503010418272563,0.0936617964428783,0.0303875094973401,2.90689917484967,10.936660901382034,28.15557812524736,73.32750083802276,170.59875447120248
