index,position,horizon,career_stage,source_pct_cutoff,n,active_n,median_source_points,median_p_active,median_pred_cond_points,median_pred_retention,median_realized_active_retention,mean_active_retention_bias,median_active_retention_bias,median_elite_share_cond_active,median_prem_elite_share_cond_active
52,TE,3,veteran,0.9,16,10,118.35,0.4625893233429767,73.62546459167588,0.6116054424417963,0.3819926050169989,0.1551856904862567,0.0902556506981076,0.506305800889798,0.8066729538230386
53,TE,3,veteran,0.95,8,6,128.45,0.537263830739092,78.53455328677448,0.592468525575913,0.4393377735433441,0.1392356864535374,0.0902556506981076,0.5533271873957679,0.8373078937255172
54,WR,2,developmental,0.75,250,236,127.13,0.9228455886052171,118.3831911029494,0.8849991212855901,0.7904826097105508,0.0865939105287289,0.0669711858452076,0.6062882319548386,0.8905870272337799
55,WR,2,developmental,0.9,91,89,161.6,0.9327411430924673,132.6094254893537,0.7942975008689359,0.8768606224627874,-0.0370176033063496,-0.058127953907388,0.7151769476548885,0.9308246432238648
56,WR,2,developmental,0.95,41,39,192.9,0.9376413371852532,141.2903975924129,0.7436336715390152,0.8514750762970499,-0.1258034212056516,-0.1368760848235911,0.8050322193292903,0.9486165374554604
57,WR,2,established,0.75,200,173,136.75,0.8709811686830905,113.8349308598625,0.7919725358145423,0.6678787878787878,0.1144302759324967,0.1413339424111015,0.5843124092733936,0.8743830087215398
58,WR,2,established,0.9,97,92,168.4,0.8842967593003361,125.7369361095681,0.7323462087470306,0.7643409049604257,0.0109656171921711,-0.0268093134928369,0.6790897204994228,0.9112246988882704
59,WR,2,established,0.95,54,53,191.6,0.8878116872511769,135.18835105575394,0.6854881288290684,0.7925615505500262,-0.0474315769508238,-0.0862021547186522,0.752599009222978,0.924689400564624
60,WR,2,veteran,0.75,37,21,111.0,0.6326014358253339,93.11432480365028,0.779943910957903,0.4984227129337539,0.289384282833286,0.409377500277358,0.4373126000664211,0.7948669938192129
61,WR,2,veteran,0.9,6,5,156.86,0.669897627432338,112.5204962238976,0.6970670454698398,0.8103092783505155,0.0231781063506489,-0.0332274964899246,0.5657768352918608,0.8710957505994199
62,WR,2,veteran,0.95,2,2,210.35,0.7407344028317608,122.37512247217084,0.5858293015604148,0.4619498525005708,0.1238794490598438,0.1238794490598438,0.6411764138153453,0.8772897630252461
63,WR,3,developmental,0.75,250,214,127.13,0.8543706019915935,110.7825221164399,0.8228134214125602,0.7749067298034151,0.0391748588925761,-0.0072517453171846,0.5440877158853292,0.8395569368577727
64,WR,3,developmental,0.9,91,87,161.6,0.8761946924015378,121.51356520153276,0.7308333363207112,0.7722772277227723,-0.0640884273940781,-0.0629870695734154,0.6219827323746062,0.8816482615107006
65,WR,3,developmental,0.95,41,40,192.9,0.8857888840302023,127.98227205937356,0.6788231184485447,0.7485762414136647,-0.0512516114126293,-0.0397748365092065,0.6783042847253878,0.911005122442177
66,WR,3,established,0.75,200,151,136.75,0.7115680170753573,97.56389765940644,0.6843856573948099,0.513215859030837,0.1243676541379511,0.1359387264050682,0.480401029635333,0.7796654084520263
67,WR,3,established,0.9,97,86,168.4,0.7417958713819728,109.67158174104186,0.6307954813133131,0.57324921778211,0.0259365781181752,0.0675389035266101,0.5485731664873634,0.8292068925551458
68,WR,3,established,0.95,54,51,191.6,0.7548156654459457,114.5161522194022,0.5899079609228589,0.6044634377967711,-0.026885578663462,0.0120889869533653,0.5881736492394747,0.864458182866888
69,WR,3,veteran,0.75,37,12,111.0,0.3017866785598377,74.6816489936914,0.6547964968442656,0.4278200267373819,0.2595303762732573,0.2997584610198401,0.3908839134441509,0.7339674550915083
70,WR,3,veteran,0.9,6,4,156.86,0.342402392646064,97.5676725221354,0.5815478466361044,0.4865999507827763,0.1355144978844377,0.1332074952346088,0.4738518697134837,0.8096407107271122
71,WR,3,veteran,0.95,2,2,210.35,0.4137111725507902,105.60951338911308,0.5122259787968411,0.3744044782625744,0.1378215005342666,0.1378215005342666,0.4769729566380987,0.8399012074416963
