player_id,historical_gsis_id,identity_method,position,evidence_tier,weeks_observed_current,current_opportunities,current_fumbles_lost,history_games,history_opportunities,history_fumbles_lost,predicted_season_equivalent_fumbles_lost,predictive_stddev,model
sleeper:player:4137,00-0033553,retained_gsis,RB,history_only,0,0.0,0.0,60,1026.0,2.0,0.79553226,0.89192615,calibrated_position_opportunity_rate
sleeper:player:4147,00-0033526,retained_gsis,RB,history_plus_current,2,11.0,0.0,80,467.0,4.0,0.26634048,0.73752057,calibrated_position_opportunity_rate
sleeper:player:4177,00-0033555,retained_gsis,WR,history_plus_current,2,6.0,0.0,75,171.0,0.0,0.14909301,0.44249225,calibrated_position_opportunity_rate
sleeper:player:4179,00-0033949,retained_gsis,QB,history_only,0,0.0,0.0,21,684.0,10.0,1.86053578,1.72663038,calibrated_position_opportunity_rate
sleeper:player:4199,00-0033293,retained_gsis,RB,history_plus_current,2,35.0,0.0,72,1133.0,9.0,0.75943436,0.87145531,calibrated_position_opportunity_rate
sleeper:player:421,00-0026498,retained_gsis,QB,history_plus_current,2,63.0,0.0,74,2804.0,10.0,2.04274449,1.72663038,calibrated_position_opportunity_rate
sleeper:player:4217,00-0033288,retained_gsis,TE,history_plus_current,2,6.0,0.0,71,336.0,2.0,0.24354921,0.49350705,calibrated_position_opportunity_rate
sleeper:player:4454,00-0033307,retained_gsis,WR,history_plus_current,2,10.0,0.0,67,212.0,2.0,0.22340993,0.47266259,calibrated_position_opportunity_rate
sleeper:player:4866,00-0034844,retained_gsis,RB,history_plus_current,2,21.0,0.0,75,1538.0,5.0,0.79884052,0.89377879,calibrated_position_opportunity_rate
sleeper:player:4881,00-0034796,retained_gsis,QB,history_plus_current,2,72.0,1.0,70,2700.0,19.0,2.15430459,1.72663038,calibrated_position_opportunity_rate
sleeper:player:4892,00-0034855,retained_gsis,QB,history_plus_current,2,78.0,3.0,77,2872.0,13.0,2.16295939,1.72663038,calibrated_position_opportunity_rate
sleeper:player:4943,00-0034869,retained_gsis,QB,history_plus_current,1,3.0,0.0,62,1937.0,17.0,1.46194732,1.72663038,calibrated_position_opportunity_rate
sleeper:player:4981,00-0034837,retained_gsis,WR,history_plus_current,1,2.0,0.0,46,205.0,1.0,0.2345977,0.48435287,calibrated_position_opportunity_rate
sleeper:player:4983,00-0034827,retained_gsis,WR,history_plus_current,2,6.0,0.0,85,451.0,3.0,0.26844167,0.51811356,calibrated_position_opportunity_rate
sleeper:player:4984,00-0034857,retained_gsis,QB,history_plus_current,2,84.0,0.0,82,3443.0,17.0,2.39864753,1.72663038,calibrated_position_opportunity_rate
sleeper:player:4993,00-0034829,retained_gsis,TE,history_plus_current,1,5.0,0.0,77,227.0,1.0,0.19686153,0.45240602,calibrated_position_opportunity_rate
sleeper:player:5001,00-0034383,retained_gsis,TE,history_plus_current,2,16.0,0.0,81,329.0,2.0,0.31503584,0.56128054,calibrated_position_opportunity_rate
sleeper:player:5008,00-0034798,retained_gsis,TE,history_plus_current,2,1.0,0.0,63,101.0,0.0,0.07241827,0.45240602,calibrated_position_opportunity_rate
sleeper:player:5012,00-0034753,retained_gsis,TE,history_plus_current,2,10.0,0.0,76,347.0,0.0,0.27611659,0.52546797,calibrated_position_opportunity_rate
sleeper:player:5022,00-0034351,retained_gsis,TE,history_plus_current,2,5.0,0.0,66,273.0,1.0,0.21048806,0.45878978,calibrated_position_opportunity_rate
sleeper:player:5045,00-0034348,retained_gsis,WR,history_plus_current,2,5.0,0.0,81,337.0,4.0,0.21340392,0.46195662,calibrated_position_opportunity_rate
sleeper:player:5127,00-0034577,retained_gsis,QB,history_only,0,0.0,0.0,13,131.0,2.0,0.5756111,1.72663038,calibrated_position_opportunity_rate
sleeper:player:5844,00-0035229,retained_gsis,TE,history_plus_current,2,7.0,0.0,69,335.0,1.0,0.25811271,0.50804794,calibrated_position_opportunity_rate
sleeper:player:5846,00-0035640,retained_gsis,WR,history_plus_current,2,8.0,0.0,80,359.0,4.0,0.25588384,0.50584962,calibrated_position_opportunity_rate
sleeper:player:5848,00-0035662,retained_gsis,WR,history_plus_current,1,2.0,0.0,59,271.0,0.0,0.2410678,0.49098655,calibrated_position_opportunity_rate
sleeper:player:5849,00-0035228,retained_gsis,QB,history_plus_current,1,7.0,0.0,55,2267.0,7.0,1.96353291,1.72663038,calibrated_position_opportunity_rate
sleeper:player:5850,00-0035700,retained_gsis,RB,history_only,0,0.0,0.0,77,1541.0,9.0,0.93105128,0.96490998,calibrated_position_opportunity_rate
sleeper:player:5854,00-0035704,retained_gsis,QB,history_plus_current,2,52.0,0.0,20,437.0,3.0,1.32712779,1.72663038,calibrated_position_opportunity_rate
sleeper:player:5857,00-0035644,retained_gsis,TE,history_plus_current,2,4.0,0.0,75,232.0,3.0,0.15995909,0.45240602,calibrated_position_opportunity_rate
sleeper:player:5859,00-0035676,retained_gsis,WR,history_plus_current,1,3.0,0.0,75,404.0,4.0,0.29045527,0.53893903,calibrated_position_opportunity_rate
sleeper:player:5870,00-0035710,retained_gsis,QB,history_plus_current,2,68.0,0.0,56,2199.0,12.0,2.14274424,1.72663038,calibrated_position_opportunity_rate
sleeper:player:5872,00-0035719,retained_gsis,WR,history_plus_current,2,11.0,0.0,75,513.0,4.0,0.37825449,0.61502398,calibrated_position_opportunity_rate
sleeper:player:5892,00-0035685,retained_gsis,RB,history_plus_current,2,31.0,0.0,74,1140.0,6.0,0.71816265,0.84744478,calibrated_position_opportunity_rate
sleeper:player:5906,00-0035689,retained_gsis,TE,history_plus_current,2,3.0,0.0,70,177.0,0.0,0.12811986,0.45240602,calibrated_position_opportunity_rate
sleeper:player:5927,00-0035659,retained_gsis,WR,history_plus_current,2,4.0,0.0,78,363.0,1.0,0.22300237,0.47223127,calibrated_position_opportunity_rate
sleeper:player:5947,00-0034960,retained_gsis,WR,history_plus_current,2,4.0,0.0,77,397.0,3.0,0.24280247,0.49274991,calibrated_position_opportunity_rate
sleeper:player:5967,00-0035261,retained_gsis,RB,history_plus_current,2,23.0,0.0,81,1284.0,6.0,0.66997934,0.81852266,calibrated_position_opportunity_rate
sleeper:player:5973,00-0035249,retained_gsis,TE,history_plus_current,2,3.0,0.0,60,82.0,1.0,0.082715,0.45240602,calibrated_position_opportunity_rate
sleeper:player:5995,00-0034975,retained_gsis,RB,history_plus_current,2,11.0,0.0,56,301.0,2.0,0.25199609,0.73752057,calibrated_position_opportunity_rate
sleeper:player:6001,00-0035631,retained_gsis,TE,history_plus_current,1,3.0,0.0,49,72.0,0.0,0.10407496,0.45240602,calibrated_position_opportunity_rate
sleeper:player:6039,00-0035537,retained_gsis,RB,history_only,0,0.0,0.0,70,307.0,1.0,0.20403375,0.73752057,calibrated_position_opportunity_rate
sleeper:player:6136,00-0035264,retained_gsis,QB,history_only,0,0.0,0.0,8,191.0,1.0,1.36378089,1.72663038,calibrated_position_opportunity_rate
sleeper:player:6271,00-0035208,retained_gsis,WR,history_plus_current,2,2.0,0.0,72,173.0,1.0,0.11449309,0.44249225,calibrated_position_opportunity_rate
sleeper:player:6768,00-0036212,retained_gsis,QB,history_only,0,0.0,0.0,68,2390.0,10.0,2.00766019,1.72663038,calibrated_position_opportunity_rate
