index,position,horizon,career_stage,origin,n,current,alternative,crps_gain_current_vs_alt,mae_gain_current_vs_alt,current_crps,alternative_crps,current_mae,alternative_mae,active_n,p_active_mean,actual_active_rate,conditional_active_retention_bias
53,QB,3,veteran,2019,16,D1,D0,0.7066081501072559,0.3324510161642258,29.853861853455,30.56047000356225,41.81632662107251,42.14877763723674,8,0.333934262479012,0.5,0.4081600778609711
54,QB,3,veteran,2020,19,D1,D0,5.404060453199112,2.16365072425204,30.89971361419576,36.30377406739488,55.93990926268486,58.103559986936894,6,0.3509732237212842,0.3157894736842105,0.6576563984223013
55,QB,3,veteran,2021,20,D1,D0,-3.159427080751486,-0.4905140379342494,32.03980238423246,28.880375303480967,45.08004128493963,44.58952724700538,8,0.4191974610731058,0.4,0.1888390298710588
56,QB,3,veteran,2022,19,D1,D0,6.826687899633908,2.497999538201422,41.96242136067514,48.78910926030905,57.98667668030026,60.4846762185017,9,0.3647152296155145,0.4736842105263157,3.2856328563240966
57,RB,2,developmental,2014,104,D1,D0,7.562264438742346,0.952225215914683,27.78567988985941,35.34794432860175,41.54698890674909,42.49921412266378,66,0.6742792492110044,0.6346153846153846,-0.1848134739819376
58,RB,2,developmental,2015,115,D1,D0,5.653133137129204,1.1669967501338676,24.63165096044684,30.284784097576043,35.34568108586776,36.51267783600163,70,0.6347285506213335,0.6086956521739131,-0.5830484109770941
59,RB,2,developmental,2016,110,D1,D0,6.865111657188341,1.83863180010793,22.429951532371224,29.295063189559563,33.596458850498486,35.43509065060642,66,0.62115374909665,0.6,-1.0838848576272746
60,RB,2,developmental,2017,108,D1,D0,6.381157141789611,1.5191545783384646,27.2610021095548,33.64215925134442,38.43022060309995,39.94937518143842,65,0.626982041175796,0.6018518518518519,0.3256568491116104
61,RB,2,developmental,2018,111,D1,D0,6.601818101363923,0.7064323801634621,27.202387888210705,33.804205989574626,38.78444804608746,39.490880426250925,76,0.6332659019281135,0.6846846846846847,0.3517584262546443
62,RB,2,developmental,2019,112,D1,D0,6.610904514388435,1.2442875992472353,24.687522822239625,31.29842733662806,36.33608163641236,37.5803692356596,83,0.6433915257299737,0.7410714285714286,-0.830732374034192
63,RB,2,developmental,2020,113,D1,D0,7.389702442519358,2.192818846030754,26.18712319754925,33.57682564006861,37.24053878412676,39.43335763015752,80,0.6417351783164296,0.7079646017699115,1.0076163584960784
64,RB,2,developmental,2021,112,D1,D0,6.420750867465277,1.38674580439328,17.16992905442822,23.590679921893496,27.25518118937425,28.64192699376753,63,0.5857120367428335,0.5625,1.8693718470048808
65,RB,2,developmental,2022,101,D1,D0,7.041594228938955,1.6902126670859996,24.531964866675164,31.57355909561411,35.92416110665119,37.61437377373719,70,0.6299830545721878,0.693069306930693,-1.7080753635632815
66,RB,2,developmental,2023,89,D1,D0,7.812913103073773,0.5426386643910063,30.99199676080029,38.80490986387407,44.1979037838651,44.74054244825612,61,0.642873963603994,0.6853932584269663,-0.0416071349939446
67,RB,2,established,2014,54,D1,D0,5.901098933041692,-1.2531920710763578,22.8862883699378,28.7873873029795,36.03574407681247,34.78255200573611,27,0.5443006852016574,0.5,0.5281973041681405
68,RB,2,established,2015,49,D1,D0,3.471240763426747,-1.2576856587441931,19.64898739480668,23.120228158233427,30.657582573958305,29.399896915214114,22,0.549746335071839,0.4489795918367347,0.1106249258458463
69,RB,2,established,2016,54,D1,D0,2.627367439640553,-0.6583810505317629,13.892019680542742,16.519387120183293,22.89200126849012,22.23362021795836,21,0.4766540033385961,0.3888888888888889,-0.7948352199569216
70,RB,2,established,2017,43,D1,D0,4.965812318406637,-0.6602255183578356,18.45859681388762,23.424409132294254,29.67696486478513,29.01673934642729,21,0.5949862387230326,0.4883720930232558,0.5883710242760669
71,RB,2,established,2018,45,D1,D0,4.2948611314998,0.6108401681600557,14.036154128895337,18.33101526039514,23.586427136111947,24.197267304272,19,0.5085217679256734,0.4222222222222222,0.4978081001008684
72,RB,2,established,2019,43,D1,D0,3.408734223090742,-0.2531499944978949,22.166413054398813,25.57514727748956,29.243872709199973,28.99072271470208,23,0.5077951826371905,0.5348837209302325,-0.7340539688925497
73,RB,2,established,2020,48,D1,D0,5.256612247064461,0.4486443469681309,20.017680000112215,25.274292247176685,31.125036836186137,31.573681183154267,25,0.5062955452985389,0.5208333333333334,0.280188805665946
74,RB,2,established,2021,59,D1,D0,3.685467352882683,-0.1370633742687746,23.76385009034597,27.44931744322865,34.43829408443047,34.301230710161704,32,0.5539226604691216,0.5423728813559322,-3.427293443722104
75,RB,2,established,2022,59,D1,D0,8.500010040163202,0.7346752029355201,24.19574352535213,32.69575356551533,38.33553888164101,39.07021408457652,24,0.5451963336710671,0.4067796610169492,-0.1440363421763843
76,RB,2,established,2023,58,D1,D0,6.727080842466987,1.705249548145108,21.714599729433296,28.44168057190028,33.087624642847985,34.792874190993096,30,0.5356030936588728,0.5172413793103449,-2.810220266065959
77,RB,2,veteran,2014,4,D1,D0,14.906918696453705,5.927894748325572,29.5104114964938,44.4173301929475,50.945911682566425,56.87380643089199,2,0.6135369372911164,0.5,-0.3548357911539266
78,RB,2,veteran,2015,7,D1,D0,3.3201362963914947,-3.0067274572032296,13.617073254036551,16.937209550428044,26.283772083001747,23.277044625798517,3,0.4149576984458296,0.4285714285714285,0.261467363266343
79,RB,2,veteran,2016,6,D1,D0,-2.915652111121551,1.3312677816498075,36.67221343289439,33.75656132177284,35.603762379058416,36.93503016070823,3,0.4006195606722773,0.5,-5.015646777449954
80,RB,2,veteran,2017,11,D1,D0,2.1061772133672174,-0.6263166625988991,20.946762081331997,23.05293929469921,30.913241608760867,30.28692494616196,4,0.3632034054704708,0.3636363636363636,0.2067884612650622
81,RB,2,veteran,2018,7,D1,D0,1.2710386547195227,0.2306483854151721,16.794113870164292,18.06515252488381,24.740064688762207,24.97071307417737,3,0.3205913481744558,0.4285714285714285,0.1423722894660212
82,RB,2,veteran,2019,6,D1,D0,1.771609270442325,-3.5552614511347795,5.284467064834142,7.056076335276466,14.68384107330497,11.128579622170191,1,0.2800748497356137,0.1666666666666666,0.4901228211326266
83,RB,2,veteran,2020,8,D1,D0,0.8793102500219275,0.0506352046303519,4.230102109650687,5.109412359672614,9.0169667916128,9.067601996243152,2,0.3039532153574641,0.25,1.3650623757721194
84,RB,2,veteran,2021,4,D1,D0,1.3869021996042676,-1.457684696860965,3.3358159063372668,4.722718105941535,7.836460902943028,6.378776206082062,1,0.268452082886526,0.25,0.392472217221748
