index,position,horizon,career_stage,magnitude_bin,n,origins,source_percentile_mean,source_points_mean,target_points_mean,active_rate,active_retention_mean,active_retention_median,p_active_mean,current_crps_mean,alternative_crps_mean,crps_gain_current_vs_alt,conditional_retention_bias_active
52,QB,3,veteran,"(0.2, 0.3]",10,7,0.2451397617380153,15.47,16.476000000000003,0.4,3.838127010741248,2.4701339801339803,0.1148088013137621,15.071827114762948,13.012847917285802,-2.058979197477151,-1.7567965372211334
53,QB,3,veteran,"(0.3, 0.4]",16,9,0.3399993818875931,29.03125,7.67625,0.25,1.2159217196007808,0.3098755644410741,0.1443343812642236,7.458687035004036,8.177318886746352,0.7186318517423157,1.4508525794673597
54,QB,3,veteran,"(0.4, 0.5]",17,8,0.4413664075628767,57.1235294117647,22.464705882352945,0.5294117647058824,0.6737975250886692,0.2572894798227198,0.194891303259187,17.89934639158987,17.267497845213185,-0.6318485463766806,0.5682357694138407
55,QB,3,veteran,"(0.5, 0.6]",16,9,0.5446888207121491,119.05875,73.0575,0.5625,1.1623620995958253,0.686586695747001,0.3957868820656343,45.31243779395416,55.15634641380936,9.843908619855194,-0.0064693769740616
56,QB,3,veteran,"(0.6, 0.7]",15,7,0.654621566169208,186.43066666666667,73.41466666666665,0.4666666666666667,0.9969933659774872,0.2910172272354389,0.5838229672215973,62.62231125275643,81.54291749214151,18.92060623938508,-0.0118098763598539
57,QB,3,veteran,"(0.7, 0.8]",18,9,0.7455431710984489,238.4677777777777,91.47222222222224,0.5,0.7697023482170947,0.736703612152141,0.6411369460401214,46.42082864245006,67.82310017526295,21.40227153281289,0.0024450180976026
58,QB,3,veteran,"(0.8, 0.9]",28,9,0.8487517450937426,283.61571428571426,156.83357142857145,0.6785714285714286,0.8250543911228302,0.8631887701655143,0.6374144317949815,76.76401447434549,83.5614796218175,6.797465147472012,-0.1138002261406978
59,QB,3,veteran,"(0.9, 1.0]",20,8,0.9472747373402216,338.954,200.355,0.8,0.75186468713902,0.7634775700104768,0.6772889333869744,68.54268452943778,83.02725882212555,14.48457429268776,-0.0628285864789923
60,RB,2,developmental,"(-0.001, 0.1]",124,10,0.0523725951035776,1.381451612903226,10.667741935483871,0.3629032258064516,28.20760073719869,12.4,0.3039048403154661,9.088362370915574,9.781062155885731,0.6926997849701573,-5.5577817336973885
61,RB,2,developmental,"(0.1, 0.2]",122,10,0.1517175616429575,4.503278688524591,9.157377049180328,0.4344262295081967,4.98405855597638,2.1707317073170733,0.3911752774503378,7.694801153508946,9.98445432793415,2.2896531744252075,2.0448364995401103
62,RB,2,developmental,"(0.2, 0.3]",102,10,0.2479067639087455,9.248039215686276,14.169607843137255,0.5196078431372549,2.854387232839062,1.0813953488372094,0.4664367572504041,12.058409636842237,15.64507632564436,3.586666688802125,0.4966815840556771
63,RB,2,developmental,"(0.3, 0.4]",103,10,0.3480091631537053,15.379999999999995,16.436893203883493,0.5922330097087378,1.786490169661277,0.84,0.5579659950693541,12.921004379972446,17.590719734359414,4.669715354386969,0.3937477304114501
64,RB,2,developmental,"(0.4, 0.5]",114,10,0.4500576956158526,26.648245614035087,25.22280701754386,0.6228070175438597,1.4717694070777856,0.9659863945578232,0.6051207829501132,16.85925451044944,21.38484625154609,4.525591741096652,0.0724369365898005
65,RB,2,developmental,"(0.5, 0.6]",96,10,0.5496240781560097,42.58958333333334,35.89666666666667,0.6666666666666666,1.284455114294083,0.9643048845947396,0.6849436923707072,25.333922339628472,31.76543668373165,6.431514344103185,0.0466744038656068
66,RB,2,developmental,"(0.6, 0.7]",106,10,0.6520518704030661,64.29320754716981,48.246226415094334,0.7358490566037735,0.9951051457368496,0.7749995870664492,0.7866221422396438,32.14971735919805,42.81955068461989,10.66983332542184,0.0970538545661936
