index,position,horizon,career_stage,origin,n,best_form,best_knot,best_bic,quadratic_bic,quadratic_curvature,linear_bic
117,TE,2,developmental,2015,67,linear,,457.4503963284711,461.2461563497371,29.786293164411774,457.4503963284711
118,TE,2,developmental,2016,75,piecewise,0.9,506.3611981336076,519.302828337196,181.10489797590304,529.4218026400987
119,TE,2,developmental,2017,68,linear,,459.3770326511917,461.1087022987636,75.65163344312772,459.3770326511917
120,TE,2,developmental,2018,76,linear,,555.51712541376,559.2514066480994,-44.71006696354669,555.51712541376
121,TE,2,developmental,2019,70,piecewise,0.8,483.376250141676,489.7068091053303,245.12637651381283,506.6213476766614
122,TE,2,developmental,2020,75,quadratic,,512.4353461678235,512.4353461678235,160.70430092371927,520.7421244434821
123,TE,2,developmental,2021,66,piecewise,0.6,399.8439847360153,400.2957561295599,109.02741668251409,407.9767827358107
124,TE,2,developmental,2022,70,quadratic,,446.05507390215377,446.05507390215377,144.78238368997563,454.61843708275535
125,TE,2,developmental,2023,65,piecewise,0.6,424.2864088480249,426.4801735111981,182.09110010997028,436.3912109091304
126,TE,2,established,2014,41,piecewise,0.8,271.6826786737123,287.77082551794285,211.2623088622428,294.8968863307167
127,TE,2,established,2015,37,linear,,259.5344082388575,260.9142600462924,101.8406968483262,259.5344082388575
128,TE,2,established,2016,37,piecewise,0.9,253.94060603907144,257.9745767018406,76.49228179675278,255.43820197791564
129,TE,2,established,2017,40,piecewise,0.8,282.0448615579066,288.47950608457154,199.63314483173136,292.1180534532282
130,TE,2,established,2018,42,piecewise,0.8,300.2950809971177,303.9936152312014,230.2319296273585,310.24393033439264
131,TE,2,established,2019,46,piecewise,0.9,277.17531155423825,304.3569135005921,185.12505516364487,313.8919712218933
132,TE,2,established,2020,39,piecewise,0.9,266.417277276362,276.29233520504465,213.62206479798385,280.9416931522582
133,TE,2,established,2021,53,piecewise,0.7,353.9637705235237,357.019784975183,254.4690566705288,373.9277139719029
134,TE,2,established,2022,45,piecewise,0.9,315.0824712318865,320.0389470650477,169.0108333179016,323.6512081946143
135,TE,2,established,2023,47,quadratic,,304.48604405857026,304.48604405857026,140.75449347586678,311.6784888528031
136,TE,3,developmental,2014,69,linear,,483.5772170539103,485.7495950814587,77.27224886218664,483.5772170539103
137,TE,3,developmental,2015,67,piecewise,0.8,482.6854983298729,486.8721121625712,133.10760360767543,488.0344286670463
138,TE,3,developmental,2016,75,piecewise,0.9,519.5139822959416,524.9445585530144,110.98862655775002,525.9773175328535
139,TE,3,developmental,2017,68,linear,,475.84098665820153,478.4905134024726,68.05933622574435,475.84098665820153
140,TE,3,developmental,2018,76,linear,,542.0027016293452,545.5957162294272,45.472413228441646,542.0027016293452
141,TE,3,developmental,2019,70,piecewise,0.6,484.9530758352229,486.5398080787972,191.4179790400251,496.5100288908304
