<PARSED TEXT FOR SHEET: 1 / 1 TABS
TAB NAME: PLAYER_TRAJECTORY_BOARD.csv>index,player_name,position,age,career_stage,source_percentile,y1_standard,y1_connected,y2_route,y2_active,y2_cond,y2_ret,y2_exp,y2_exp_ret,y3_route,y3_active,y3_cond,y3_ret,y3_exp,y3_exp_ret,historical_support_strength,support_route_cell_eligible,support_active_top10_n,support_source_p90,support_source_max,support_stage_realized_y3_ret_median,support_early_n,support_mid_n,support_validation_n
20,Sam LaPorta,TE,24.63568724888259,developmental,0.9140625,108.9,145.863,D1,0.9290811106051008,87.86864428034323,0.8068746031252821,81.63709761534582,0.749651952390687,D1,0.8643332742041144,77.68334702875767,0.7133457027434129,67.14430168850058,0.6165684268916489,well supported,True,38,148.35,172.7,0.7355523152005714,211,144,145
21,Puka Nacua,WR,24.26059398892517,developmental,0.9958677685950412,217.6,276.308,D1,0.9376431997432308,157.93221327376156,0.7257914212948602,148.08406579654016,0.6805333906091,D1,0.8748937800879513,146.54713861231042,0.6734703061227502,128.21318006159723,0.5892149819007225,limited,True,62,208.94,252.0,0.7719006159677801,380,272,293
22,Ja'Marr Chase,WR,25.50360377009795,established,0.987603305785124,201.4,259.543,D1,0.9190691584480418,154.49351638710564,0.7670978966589158,141.99022609157595,0.7050160183295727,D1,0.8310544859492224,136.51764165807614,0.6778433051543006,113.4535985111526,0.5633247195191291,well supported,True,68,229.87,263.9,0.5814088362773666,185,133,122
23,Amon-Ra St. Brown,WR,25.856793773999467,established,0.9793388429752066,196.7,255.1355,D1,0.9206722142447896,148.79644650051577,0.756463886632007,136.9927538713862,0.6964552815017093,D1,0.830028903761123,132.5411766800212,0.6738239790545054,110.01300758292732,0.5592933786625691,well supported,True,68,229.87,263.9,0.5814088362773666,185,133,122
24,Jaxon Smith-Njigba,WR,23.546000260101167,developmental,0.9710743801652892,192.4,243.758,D1,0.9453191410163584,153.67565188997494,0.7987299994281442,145.27253523976,0.7550547569634095,D1,0.8907644864321179,141.65246415891278,0.7362394187053678,126.17898448835793,0.655815927694168,well supported,True,62,208.94,252.0,0.7719006159677801,380,272,293
25,CeeDee Lamb,WR,26.40163726839018,established,0.962809917355372,167.95,214.5355,D1,0.8892877761048724,137.87544183452792,0.8209314786217798,122.61094504850404,0.7300443289580473,D1,0.7657825926077533,119.97090920271576,0.7143251515493645,91.87163388676504,0.5470177665183986,well supported,True,68,229.87,263.9,0.5814088362773666,185,133,122
26,Justin Jefferson,WR,26.21272168490797,established,0.9545454545454546,167.45,216.2255,D1,0.9032352660820646,135.85718019747313,0.8113298309792364,122.71099630482364,0.7328217157648471,D1,0.7882960441947924,116.87309644126216,0.69795817522402,92.13059959744342,0.5501976685425107,well supported,True,68,229.87,263.9,0.5814088362773666,185,133,122
27,Drake London,WR,24.10727119653381,established,0.9462809917355371,163.1,211.368,D1,0.9255226776434092,139.2833036960659,0.8539748847091717,128.90985618780306,0.7903731219362542,D1,0.8538776335498484,120.12085861644684,0.7364859510511762,102.56851449538752,0.6288688810262878,well supported,True,68,229.87,263.9,0.5814088362773666,185,133,122
28,Nico Collins,WR,26.45639540852995,established,0.9380165289256198,161.5,204.5555,D1,0.9047148302422764,131.83543017733274,0.8163184531104194,119.27346883280308,0.7385354107294309,D1,0.7930765680775952,113.41071188829062,0.7022335101442144,89.94337816760245,0.5569249422142566,well supported,True,68,229.87,263.9,0.5814088362773666,185,133,122
29,A.J. Brown,WR,28.173063101911744,established,0.9297520661157024,158.75,204.5555,D1,0.854408360527152,120.483885179987,0.758953607432989,102.94243880657432,0.6484563074429879,D1,0.6900719591955721,100.82211905486442,0.6350999625503271,69.57451722643951,0.4382646754421386,well supported,True,68,229.87,263.9,0.5814088362773666,185,133,122
30,Chris Olave,WR,25.180530743273305,established,0.9214876033057852,157.1,206.6455,D1,0.9233750858468204,131.51493999072798,0.8371415658225843,121.43761900407787,0.7729956652073703,D1,0.8392779230560525,112.60968746842572,0.7168025936882605,94.51082461449153,0.6015965920718748,well supported,True,68,229.87,263.9,0.5814088362773666,185,133,122
31,Zay Flowers,WR,24.972449810742177,developmental,0.9132231404958676,156.65,197.4455,D1,0.9280746724523168,128.857115078892,0.8225797323899905,119.58902486999315,0.7634154157037546,D1,0.8469673290828958,116.9490328028961,0.746562609657811,99.05200995189688,0.6323141394950327,well supported,True,62,208.94,252.0,0.7719006159677801,380,272,293
32,Rashee Rice,WR,25.361232605734543,developmental,0.9049586776859504,154.35,199.6955,D1,0.878746899431275,129.8306065582162,0.841144195388508,114.08824296431426,0.739152853672266,D1,0.7666763490253026,114.13533294638354,0.7394579393999582,87.50486035812067,0.5669249132369334,well supported,True,62,208.94,252.0,0.7719006159677801,380,272,293
