index,omit_player,removed_rows,crps_gain,delta_vs_full
82,00-0030287,3,0.012350144654415,-0.0021850718025035
83,00-0030789,3,0.0123559239520927,-0.0021792925048258
84,00-0031743,3,0.0123596499221748,-0.0021755665347437
85,00-0031085,4,0.0123816071194012,-0.0021536093375173
86,00-0035148,2,0.0123994070647015,-0.002135809392217
87,00-0031066,3,0.0124060509222944,-0.0021291655346241
88,00-0030547,3,0.0124458833320251,-0.0020893331248934
89,00-0031612,3,0.0124868615663091,-0.0020483548906094
90,00-0034358,1,0.0124884510516089,-0.0020467654053096
91,00-0035342,3,0.01253246102536,-0.0020027554315585
92,00-0030282,3,0.0125347964243613,-0.0020004200325572
93,00-0032393,4,0.0125550827931471,-0.0019801336637713
94,00-0035924,3,0.0125666445705084,-0.00196857188641
95,00-0036269,2,0.0126297253425837,-0.0019054911143348
96,00-0030668,4,0.0126912432981119,-0.0018439731588065
97,00-0036654,2,0.0127290330550974,-0.0018061834018211
98,00-0035908,2,0.0127380586700685,-0.00179715778685
99,00-0036950,2,0.0127474867563002,-0.0017877297006183
100,00-0035268,2,0.0128203617007205,-0.0017148547561979
101,00-0034414,3,0.0128225796920672,-0.0017126367648513
102,00-0031376,4,0.012841688098964,-0.0016935283579545
103,00-0036336,3,0.0128498521421899,-0.0016853643147286
104,00-0034208,4,0.0128879819285746,-0.0016472345283438
105,00-0032152,1,0.0128992105573717,-0.0016360058995468
106,00-0033596,2,0.012923517773233,-0.0016116986836855
107,00-0034432,2,0.0129262799210428,-0.0016089365358757
108,00-0029264,2,0.0129314201956968,-0.0016037962612217
109,00-0031277,3,0.0129858839301609,-0.0015493325267576
110,00-0036857,2,0.0129890897578646,-0.0015461266990539
111,00-0029795,3,0.0129903789511929,-0.0015448375057256
112,00-0030348,3,0.0129944970885772,-0.0015407193683413
113,00-0029141,2,0.0130546311615197,-0.0014805852953988
114,00-0036450,3,0.0130570202384575,-0.001478196218461
115,00-0035273,4,0.0130670751979864,-0.0014681412589321
116,00-0034301,4,0.0130879944674918,-0.0014472219894267
117,00-0036650,2,0.0130938555027705,-0.001441360954148
118,00-0032956,4,0.013121381072613,-0.0014138353843054
119,00-0033838,2,0.0131464578064127,-0.0013887586505058
120,00-0029438,2,0.0131601216667297,-0.0013750947901888
121,00-0038134,1,0.0131640756225169,-0.0013711408344016
122,00-0030741,4,0.0132102786010295,-0.001324937855889
123,00-0032257,4,0.0132253049845937,-0.0013099114723247
124,00-0032794,4,0.0132719295428228,-0.0012632869140957
125,00-0034808,3,0.0133070539705724,-0.0012281624863461
126,00-0031123,1,0.0133071044684235,-0.001228111988495
127,00-0037299,1,0.0133194916156863,-0.0012157248412322
128,00-0031158,2,0.0133196293445412,-0.0012155871123773
129,00-0036670,1,0.0133352869407994,-0.0011999295161191
130,00-0031209,2,0.0133476272761661,-0.0011875891807524
131,00-0031682,3,0.0133503880442284,-0.0011848284126901
132,00-0036829,1,0.0133682998384471,-0.0011669166184714
133,00-0031731,4,0.0133816659357727,-0.0011535505211458
134,00-0029429,2,0.0133898465486806,-0.0011453699082379
135,00-0037286,1,0.013402775605075,-0.0011324408518435
136,00-0034578,3,0.0134122893297858,-0.0011229271271327
137,00-0036096,3,0.0134123840821252,-0.0011228323747933
138,00-0032377,3,0.0134214855106501,-0.0011137309462684
139,00-0037265,1,0.0134236561624366,-0.0011115602944819
140,00-0031665,4,0.0134348055007976,-0.0011004109561209
141,00-0035806,3,0.0134722488606915,-0.001062967596227
142,00-0036569,2,0.0134726249227164,-0.001062591534202
143,00-0032133,1,0.0134852969845266,-0.0010499194723919
144,00-0029510,2,0.0134909752829711,-0.0010442411739474
145,00-0029104,2,0.0135006309392639,-0.0010345855176546
146,00-0037263,1,0.0135029350861946,-0.0010322813707239
147,00-0037827,1,0.013507553246562,-0.0010276632103565
148,00-0030496,3,0.0135151195092624,-0.0010200969476561
149,00-0029273,2,0.0135322351215101,-0.0010029813354084
150,00-0029615,2,0.0135421860435993,-0.0009930304133192
151,00-0029675,1,0.0135532623263364,-0.000981954130582
152,00-0032577,3,0.0135544918138688,-0.0009807246430496
153,00-0034164,4,0.0135684006124034,-0.000966815844515
154,00-0032964,3,0.0135808722146643,-0.0009543442422542
155,00-0032472,2,0.0136044198165533,-0.0009307966403652
156,00-0032902,1,0.0136189201646128,-0.0009162962923057
157,00-0035596,1,0.0136249300409726,-0.0009102864159459
158,00-0037746,1,0.0136362011032305,-0.0008990153536879
159,00-0031243,1,0.0136421984687281,-0.0008930179881904
160,00-0031008,1,0.0136524326625419,-0.0008827837943765
161,00-0028121,1,0.0136700867244049,-0.0008651297325136
162,00-0037429,1,0.0136779040789742,-0.0008573123779443
163,00-0030522,1,0.0136823864404291,-0.0008528300164894
164,00-0034597,3,0.0136842584799955,-0.0008509579769229
165,00-0038045,1,0.013692331891141,-0.0008428845657775
166,00-0032404,4,0.0137037708859197,-0.0008314455709988
167,00-0031526,1,0.0137047223473858,-0.0008304941095327
168,00-0034115,4,0.0137047354928293,-0.0008304809640892
