index,omit_player,removed_rows,crps_gain,delta_vs_full
298,00-0034845,4,-0.4771095727941932,0.0013192444135271
299,00-0034109,4,-0.4770865839289899,0.0013422332787303
300,00-0036336,3,-0.4770207392129207,0.0014080779947996
301,00-0031682,3,-0.4770022235567954,0.0014265936509249
302,00-0036383,2,-0.4769722388557619,0.0014565783519583
303,00-0035594,4,-0.4769381452042291,0.0014906720034911
304,00-0036755,2,-0.4768035340570231,0.0016252831506972
305,00-0035537,4,-0.4767970138417244,0.0016318033659959
306,00-0033596,2,-0.4767505144583001,0.0016783027494202
307,00-0032902,1,-0.4767395104266025,0.0016893067811178
308,00-0035924,3,-0.4767356818770763,0.001693135330644
309,00-0035908,2,-0.4767343831508923,0.001694434056828
310,00-0035311,4,-0.4766681025111009,0.0017607146966194
311,00-0036269,2,-0.4766470983850328,0.0017817188226875
312,00-0036370,3,-0.4766388198625179,0.0017899973452024
313,00-0029384,2,-0.4766159498267028,0.0018128673810175
314,00-0032956,4,-0.4766037384500072,0.001825078757713
315,00-0028198,2,-0.4765967056548935,0.0018321115528268
316,00-0034449,4,-0.4765948938131344,0.0018339233945858
317,00-0034358,1,-0.4765293947807177,0.0018994224270026
318,00-0029588,2,-0.476514825764718,0.0019139914430023
319,00-0031526,1,-0.476465084973417,0.0019637322343033
320,00-0035148,2,-0.4764401056216052,0.0019887115861151
321,00-0028011,1,-0.4764362794963925,0.0019925377113278
322,00-0034400,4,-0.4764300543812128,0.0019987628265075
323,00-0031158,2,-0.4763791194443917,0.0020496977633286
324,00-0036360,3,-0.4763616263885362,0.0020671908191841
325,00-0029510,2,-0.4762358781583877,0.0021929390493326
326,00-0033725,4,-0.4760104723313688,0.0024183448763515
327,00-0028043,1,-0.4758765779809181,0.0025522392268022
328,00-0032104,4,-0.475810918174932,0.0026178990327883
329,00-0032133,1,-0.4757533682758093,0.002675448931911
330,00-0031008,1,-0.4757082084395604,0.0027206087681599
331,00-0028121,1,-0.4756912371144632,0.002737580093257
332,00-0035700,4,-0.4756823049117736,0.0027465122959467
333,00-0030522,1,-0.47563536515154,0.0027934520561803
334,00-0031243,1,-0.4755975820244937,0.0028312351832265
335,00-0029104,2,-0.4755744278404338,0.0028543893672864
336,00-0031612,3,-0.475299290500196,0.0031295267075243
337,00-0032152,1,-0.4752916055016439,0.0031372117060763
338,00-0034378,4,-0.4752873768469408,0.0031414403607795
339,00-0031577,4,-0.4752852160619367,0.0031436011457836
340,00-0031209,2,-0.4752754292611398,0.0031533879465805
341,00-0029429,2,-0.4752650822448008,0.0031637349629194
342,00-0032393,4,-0.475210827247161,0.0032179899605592
343,00-0030414,2,-0.4751984597421785,0.0032303574655417
344,00-0029273,2,-0.475190449004685,0.0032383682030353
345,00-0034799,4,-0.4751903325751299,0.0032384846325904
346,00-0034457,3,-0.4751410377493556,0.0032877794583647
347,00-0034679,2,-0.475036810750344,0.0033920064573763
